10	Wusama
11	Amuma
12	Musaik
13	Pasema
14	Hogio
15	Mugi
16	Soba
17	Werima
18	Tangma
19	Ukha
20	Panggema
21	Kosarek
22	Nipsan
23	Ubahak
24	Pronggoli
25	Walma
26	Yahuliambut
27	Hereapini
28	Ubalihi
29	Talambo
30	Puldama
31	Endomen
32	Kona
33	Dirwemna
34	Holuwon
35	Lolat
36	Soloikma
37	Sela
38	Korupun
39	Langda
40	Bomela
41	Suntamon
42	Seradala
43	Sobaham
44	Kabianggama
45	Kwelamdua
46	Kwikma
47	Hilipuk
48	Duram
49	Yogosem
50	Kayo
51	Sumo
01	Kurima
02	Anggruk
03	Ninia
04	Silimo
05	Samenage
06	Nalca
07	Dekai
08	Obio
09	Suru Suru
